sample_id,dataset,role,modality,path_rgb,path_thermal,sequence_id,subject_id,frame_index,original_label,project_label,status,issue_code,split,notes
mot20_train_MOT20-01_000018,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000018.jpg,none,MOT20-01,none,18,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000019,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000019.jpg,none,MOT20-01,none,19,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000020,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000020.jpg,none,MOT20-01,none,20,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000021,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000021.jpg,none,MOT20-01,none,21,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000022,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000022.jpg,none,MOT20-01,none,22,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000023,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000023.jpg,none,MOT20-01,none,23,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000024,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000024.jpg,none,MOT20-01,none,24,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000025,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000025.jpg,none,MOT20-01,none,25,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000026,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000026.jpg,none,MOT20-01,none,26,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000027,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000027.jpg,none,MOT20-01,none,27,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000028,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000028.jpg,none,MOT20-01,none,28,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000029,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000029.jpg,none,MOT20-01,none,29,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000030,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000030.jpg,none,MOT20-01,none,30,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000031,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000031.jpg,none,MOT20-01,none,31,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000032,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000032.jpg,none,MOT20-01,none,32,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000033,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000033.jpg,none,MOT20-01,none,33,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000034,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000034.jpg,none,MOT20-01,none,34,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000035,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000035.jpg,none,MOT20-01,none,35,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000036,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000036.jpg,none,MOT20-01,none,36,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000037,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000037.jpg,none,MOT20-01,none,37,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000038,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000038.jpg,none,MOT20-01,none,38,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000039,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000039.jpg,none,MOT20-01,none,39,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000040,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000040.jpg,none,MOT20-01,none,40,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000041,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000041.jpg,none,MOT20-01,none,41,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000042,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000042.jpg,none,MOT20-01,none,42,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000043,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000043.jpg,none,MOT20-01,none,43,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000044,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000044.jpg,none,MOT20-01,none,44,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000045,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000045.jpg,none,MOT20-01,none,45,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000046,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000046.jpg,none,MOT20-01,none,46,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000047,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000047.jpg,none,MOT20-01,none,47,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000048,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000048.jpg,none,MOT20-01,none,48,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000049,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000049.jpg,none,MOT20-01,none,49,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000050,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000050.jpg,none,MOT20-01,none,50,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000051,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000051.jpg,none,MOT20-01,none,51,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000052,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000052.jpg,none,MOT20-01,none,52,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000053,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000053.jpg,none,MOT20-01,none,53,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000054,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000054.jpg,none,MOT20-01,none,54,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000055,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000055.jpg,none,MOT20-01,none,55,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000056,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000056.jpg,none,MOT20-01,none,56,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000057,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000057.jpg,none,MOT20-01,none,57,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000058,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000058.jpg,none,MOT20-01,none,58,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000059,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000059.jpg,none,MOT20-01,none,59,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000060,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000060.jpg,none,MOT20-01,none,60,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000061,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000061.jpg,none,MOT20-01,none,61,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000062,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000062.jpg,none,MOT20-01,none,62,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000063,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000063.jpg,none,MOT20-01,none,63,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000064,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000064.jpg,none,MOT20-01,none,64,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000065,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000065.jpg,none,MOT20-01,none,65,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000066,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000066.jpg,none,MOT20-01,none,66,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000067,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000067.jpg,none,MOT20-01,none,67,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000068,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000068.jpg,none,MOT20-01,none,68,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000069,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000069.jpg,none,MOT20-01,none,69,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000070,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000070.jpg,none,MOT20-01,none,70,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000071,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000071.jpg,none,MOT20-01,none,71,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000072,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000072.jpg,none,MOT20-01,none,72,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000073,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000073.jpg,none,MOT20-01,none,73,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000074,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000074.jpg,none,MOT20-01,none,74,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000075,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000075.jpg,none,MOT20-01,none,75,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000076,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000076.jpg,none,MOT20-01,none,76,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000077,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000077.jpg,none,MOT20-01,none,77,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000078,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000078.jpg,none,MOT20-01,none,78,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000079,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000079.jpg,none,MOT20-01,none,79,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000080,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000080.jpg,none,MOT20-01,none,80,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000081,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000081.jpg,none,MOT20-01,none,81,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000082,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000082.jpg,none,MOT20-01,none,82,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000083,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000083.jpg,none,MOT20-01,none,83,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000084,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000084.jpg,none,MOT20-01,none,84,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000085,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000085.jpg,none,MOT20-01,none,85,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000086,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000086.jpg,none,MOT20-01,none,86,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000087,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000087.jpg,none,MOT20-01,none,87,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000088,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000088.jpg,none,MOT20-01,none,88,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000089,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000089.jpg,none,MOT20-01,none,89,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000090,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000090.jpg,none,MOT20-01,none,90,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000091,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000091.jpg,none,MOT20-01,none,91,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000092,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000092.jpg,none,MOT20-01,none,92,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000093,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000093.jpg,none,MOT20-01,none,93,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000094,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000094.jpg,none,MOT20-01,none,94,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000095,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000095.jpg,none,MOT20-01,none,95,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000096,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000096.jpg,none,MOT20-01,none,96,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000097,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000097.jpg,none,MOT20-01,none,97,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000098,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000098.jpg,none,MOT20-01,none,98,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000099,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000099.jpg,none,MOT20-01,none,99,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000100,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000100.jpg,none,MOT20-01,none,100,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000101,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000101.jpg,none,MOT20-01,none,101,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000102,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000102.jpg,none,MOT20-01,none,102,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000103,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000103.jpg,none,MOT20-01,none,103,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000104,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000104.jpg,none,MOT20-01,none,104,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000105,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000105.jpg,none,MOT20-01,none,105,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000106,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000106.jpg,none,MOT20-01,none,106,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000107,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000107.jpg,none,MOT20-01,none,107,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000108,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000108.jpg,none,MOT20-01,none,108,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000109,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000109.jpg,none,MOT20-01,none,109,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000110,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000110.jpg,none,MOT20-01,none,110,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000111,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000111.jpg,none,MOT20-01,none,111,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000112,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000112.jpg,none,MOT20-01,none,112,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000113,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000113.jpg,none,MOT20-01,none,113,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000114,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000114.jpg,none,MOT20-01,none,114,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000115,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000115.jpg,none,MOT20-01,none,115,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
mot20_train_MOT20-01_000116,MOT20,C,rgb,${MOT20_PROCESSED_ROOT}/images/train/MOT20-01/000116.jpg,none,MOT20-01,none,116,pedestrian,person,fix,F-LABEL-NORM,train,MOT20 pedestrian label normalized to person.
